               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09569,             0.15623,            0.035558,            0.018774,             0.36661,            0.021822,           0.0066853,            0.080814,             0.10715,            0.032809,            0.070625,           0.0032639,           0.0032639
                   1,            0.087071,             0.16438,            0.030169,            0.018823,              0.3636,            0.031632,           0.0091597,            0.076269,             0.10669,            0.028046,             0.04056,           0.0065319,           0.0065319
                   2,            0.083874,             0.15951,            0.024904,            0.066631,             0.29563,            0.052651,            0.014779,            0.072651,             0.11361,            0.023279,            0.010428,           0.0097339,           0.0097339
                   3,            0.079694,             0.15847,            0.018148,             0.40469,             0.10185,            0.058513,            0.014822,            0.093105,            0.088708,            0.040833,            0.009703,            0.009703,            0.009703
                   4,            0.074699,             0.15941,            0.011383,            0.043593,              0.3865,            0.033301,           0.0096084,            0.081562,             0.11057,            0.076361,            0.009703,            0.009703,            0.009703
                   5,            0.069664,             0.15872,           0.0076335,             0.50542,             0.30142,              0.2611,            0.087553,            0.098152,            0.096698,             0.04856,            0.009604,            0.009604,            0.009604
                   6,            0.067127,             0.15019,           0.0062634,             0.23454,             0.34806,             0.18002,            0.050327,            0.088936,             0.10988,            0.030998,            0.009505,            0.009505,            0.009505
                   7,            0.062594,              0.1475,           0.0050623,              0.1997,             0.51159,             0.32219,             0.10417,            0.079366,            0.093681,            0.015675,            0.009406,            0.009406,            0.009406
                   8,            0.060767,               0.142,           0.0043848,             0.34305,             0.58863,              0.4055,             0.13056,            0.074682,             0.09277,           0.0081116,            0.009307,            0.009307,            0.009307
                   9,            0.058004,             0.13684,           0.0039688,             0.59538,              0.6244,             0.60179,             0.20113,            0.056778,            0.092598,           0.0030109,            0.009208,            0.009208,            0.009208
                  10,            0.054637,             0.13561,           0.0036276,             0.25728,             0.55015,             0.36383,              0.1217,            0.081826,            0.097137,           0.0043207,            0.009109,            0.009109,            0.009109
                  11,             0.05224,             0.13877,           0.0033351,             0.56486,             0.79619,             0.79158,             0.38265,            0.039067,            0.085335,           0.0018743,             0.00901,             0.00901,             0.00901
                  12,            0.051144,             0.13467,           0.0032157,             0.55847,             0.75868,             0.60472,              0.2605,            0.038974,            0.079507,           0.0016968,            0.008911,            0.008911,            0.008911
                  13,            0.047968,             0.13239,           0.0029903,             0.55971,             0.68216,             0.66462,             0.26288,            0.057813,             0.09522,           0.0032337,            0.008812,            0.008812,            0.008812
                  14,            0.046464,              0.1293,           0.0028814,             0.69311,             0.85162,              0.8671,             0.44763,            0.036163,             0.07857,           0.0015313,            0.008713,            0.008713,            0.008713
                  15,            0.046989,              0.1295,           0.0027658,             0.67276,              0.8391,             0.79217,             0.38251,            0.035922,            0.077048,           0.0015774,            0.008614,            0.008614,            0.008614
                  16,            0.044415,             0.13063,           0.0026076,             0.77231,             0.84117,             0.86957,             0.48665,            0.036091,            0.077151,           0.0013688,            0.008515,            0.008515,            0.008515
                  17,            0.045771,             0.13244,           0.0025344,             0.80835,             0.86669,              0.8904,             0.49398,            0.032566,            0.076885,           0.0013554,            0.008416,            0.008416,            0.008416
                  18,            0.044036,             0.12972,           0.0024713,             0.80047,             0.93552,             0.88887,              0.4657,            0.032965,            0.079447,           0.0012368,            0.008317,            0.008317,            0.008317
                  19,            0.042327,             0.12688,           0.0022763,             0.76025,             0.87964,              0.8755,             0.49596,            0.032581,            0.073709,           0.0011412,            0.008218,            0.008218,            0.008218
                  20,            0.042612,             0.12552,           0.0023801,             0.81146,             0.91877,             0.89354,             0.51304,            0.031638,            0.075849,           0.0011414,            0.008119,            0.008119,            0.008119
